Disponibilita,Necessari,Scadenza,Dimensione,Utilizzati,Y
2999,6,9,750,24,0
4703,523,10,500,25,0
4656,688,18,100,291,10
4469,244,9,1000,287,0
3479,233,14,100,354,14
296,859,20,750,100,3
2533,745,6,100,173,0
1258,120,8,100,913,53
2893,119,16,500,786,18
2812,990,4,500,291,0
2737,291,12,1000,626,4
2579,243,3,100,617,0
2233,460,1,100,71,0
1935,1000,20,500,274,9
2942,967,10,1000,571,3
1566,971,8,1000,491,3
3254,425,17,100,388,34
3441,856,14,750,178,0
2687,614,20,100,947,159
1821,684,12,100,637,59
2768,306,9,100,192,0
1829,654,6,500,351,1
4893,355,2,500,848,0
3356,58,13,1000,169,0
2528,717,18,500,268,5
1247,875,19,750,404,9
3653,147,19,750,68,0
2536,591,17,100,191,11
2247,248,5,250,969,8
2696,503,14,500,612,12
4990,778,5,500,135,0
938,176,2,100,150,0
1337,197,2,250,391,0
2963,520,10,750,944,8
1799,297,3,500,876,0
3439,337,14,1000,873,8
1840,609,15,750,254,3
4423,623,13,1000,140,0
2891,652,20,1000,19,0
2548,91,14,500,480,8
4625,173,16,1000,998,11
2883,310,11,100,38,0
2736,255,19,100,709,103
2855,534,4,500,500,0
1228,546,9,500,820,12
3899,870,17,100,394,33
3486,657,2,100,678,0
3905,99,16,500,948,21
2558,509,12,100,932,82
453,801,5,100,82,7
4979,628,19,500,695,16
4076,667,7,750,426,0
4699,44,4,500,991,0
4313,865,3,500,588,0
796,140,9,100,437,28
3209,110,7,750,489,0
1703,907,6,500,201,0
2895,801,18,250,457,23
1819,561,11,100,765,64
1462,437,0,500,232,0
4451,429,20,500,696,18
4442,355,0,250,840,0
3655,1000,17,250,56,0
3202,281,15,100,497,40
2695,859,8,750,640,4
360,106,14,500,151,3
2601,801,6,1000,796,2
302,670,4,1000,804,3
561,774,15,100,138,21
4482,14,10,1000,734,2
4702,840,1,250,677,0
4425,802,10,1000,880,4
3952,828,4,100,663,0
3094,284,8,500,886,7
4392,338,19,250,327,7
2721,816,15,750,796,12
3938,996,3,100,398,0
2320,209,4,1000,545,0
1781,408,19,100,168,17
3190,694,6,500,703,2
173,763,2,250,206,3
3093,233,15,1000,625,6
3987,940,18,1000,603,7
3996,222,17,250,503,17
3871,864,6,500,232,0
12,672,15,250,267,18
3777,736,1,250,30,0
3132,879,8,1000,812,3
4105,325,13,500,681,9
3850,138,0,750,381,0
959,808,17,100,767,121
3514,452,16,250,73,0
3304,58,3,500,851,0
2076,914,19,100,650,105
2289,56,12,500,12,0
1833,473,16,750,350,5
3168,97,16,750,41,0
950,11,15,100,488,59
3440,800,15,500,736,15
48,796,11,1000,90,2
2962,429,9,100,194,0
1336,467,10,750,320,3
4236,525,4,750,540,0
3273,819,0,500,190,0
978,34,13,750,1000,15
1385,110,11,1000,56,0
2469,804,20,100,788,133
3789,711,4,250,491,0
851,319,4,500,545,2
638,276,7,500,559,6
2245,687,19,250,973,64
1943,616,15,1000,639,8
3244,496,15,250,16,0
1834,401,4,100,124,0
1507,62,20,500,445,14
2681,71,12,250,52,0
4715,914,16,1000,548,4
1965,269,19,750,252,4
3523,165,1,100,201,0
2758,536,7,1000,459,1
3850,971,9,100,486,10
4980,180,16,250,236,0
3620,154,9,250,525,3
3464,848,6,250,926,8
711,765,18,100,574,98
2810,53,19,250,301,11
3494,226,13,250,492,11
4798,283,8,250,641,0
2804,79,9,750,830,5
817,523,1,750,698,0
84,979,1,500,220,2
96,278,6,250,861,18
2781,99,11,750,200,0
1063,503,19,100,705,121
1375,427,11,100,25,0
2832,284,17,500,788,20
4435,969,17,500,715,16
3789,728,11,750,806,7
4368,284,3,500,173,0
1627,962,3,250,150,0
4699,447,4,500,6,0
1111,237,6,100,691,26
4178,284,10,100,454,2
1484,107,19,250,909,60
2899,492,4,100,237,0
1174,759,18,500,70,2
1629,501,2,750,7,0
1316,451,19,500,414,13
4009,395,11,250,206,0
91,325,13,500,65,2
3278,993,5,250,170,0
4496,242,14,500,967,17
205,298,16,750,668,13
3092,300,12,500,723,10
4897,629,3,750,992,0
1621,770,3,750,321,0
2091,26,13,1000,573,5
1103,765,13,500,860,20
2290,583,6,750,941,4
1356,130,0,250,754,0
185,599,7,1000,658,4
4291,860,2,100,340,0
3563,302,12,750,980,10
627,128,11,100,263,21
2142,691,12,250,381,11
1884,744,6,500,837,6
4247,287,6,500,640,0
4709,835,13,250,644,15
4225,258,4,500,850,0
2392,310,9,750,453,2
572,776,14,1000,920,12
16,719,3,1000,778,2
4467,484,1,1000,495,0
2280,518,20,1000,646,11
0,433,1,500,107,1
85,709,8,750,47,1
4636,78,16,250,36,0
2283,770,7,500,875,7
3177,919,4,250,427,0
3605,926,12,100,807,62
2728,180,6,250,757,5
4051,748,12,100,466,18
4731,313,19,250,984,53
3428,509,17,100,215,5
2208,244,7,750,644,3
3200,883,12,100,686,52
1934,682,18,1000,296,4
464,396,20,750,365,9
2716,657,6,750,742,2
3373,92,1,500,66,0
3132,740,11,100,185,0
2346,693,10,250,574,14
410,330,15,1000,938,13
3214,130,20,500,337,7
4796,357,7,1000,162,0
1952,389,10,250,872,25
1755,309,7,1000,235,0
1623,706,10,100,945,76
2182,218,4,1000,807,0
4717,483,14,250,329,0
1574,687,8,100,714,41
3209,68,17,100,504,49
1698,515,9,750,766,7
941,647,17,250,564,35
3406,257,19,250,430,18
2638,427,5,250,996,7
4888,252,13,100,209,0
4292,769,5,250,968,1
2151,919,7,250,181,0
2437,170,10,250,988,26
2451,138,18,100,595,78
3277,192,20,100,272,21
318,545,14,100,685,91
1198,266,14,750,401,6
1634,301,19,750,317,6
4196,938,12,250,102,0
1801,469,6,100,962,35
234,785,8,750,756,8
311,496,5,250,69,2
940,929,2,250,306,1
1788,360,11,750,484,5
3533,340,12,750,193,0
2413,612,1,750,595,0
4097,417,12,750,22,0
4921,800,19,1000,681,8
1747,685,17,750,496,9
2170,786,7,250,565,8
2258,738,9,750,182,0
4845,695,12,250,652,12
3489,944,12,500,642,9
3903,267,19,100,725,94
4996,105,4,100,237,0
6,381,12,250,416,20
3065,543,16,1000,793,9
2322,308,2,500,545,0
2430,99,6,750,580,1
4687,99,12,250,654,10
3389,434,16,100,840,96
1025,802,5,750,696,3
1917,440,12,100,466,36
4566,277,2,1000,797,0
820,957,14,750,667,12
1680,878,16,500,911,26
4999,110,8,750,466,0
4367,400,14,750,418,2
32,117,7,100,372,23
3388,707,16,100,241,9
4567,337,1,1000,505,0
140,753,6,100,653,39
4078,645,10,1000,302,0
3217,14,19,750,304,3
3529,804,13,500,818,14
3531,875,11,750,876,8
3171,327,13,500,479,6
699,378,10,100,784,67
882,768,15,750,1,0
3987,342,8,750,638,1
4659,887,3,100,590,0
1150,795,11,1000,325,3
1500,796,5,500,130,0
3586,668,2,1000,797,0
3301,895,14,500,275,2
1869,320,6,100,290,0
1038,127,5,750,918,4
4492,239,2,100,935,0
1281,415,11,100,393,31
3599,823,14,100,105,0
201,437,0,500,612,0
4296,864,8,1000,104,0
4848,627,0,250,216,0
3159,264,8,1000,79,0
3556,466,15,500,900,19
2584,620,10,1000,222,0
2492,796,3,250,282,0
3298,291,17,500,196,0
23,68,16,1000,693,10
1629,853,8,750,194,1
4031,866,0,1000,667,0
2445,633,20,500,401,12
4859,280,1,100,507,0
2694,508,11,500,335,2
3018,434,11,750,99,0
2552,645,0,1000,559,0
2480,452,4,1000,758,0
263,486,0,250,52,1
2051,444,2,250,680,0
864,382,10,100,859,72
1966,657,10,750,325,2
4554,312,4,500,876,0
4077,633,6,500,749,1
3567,67,9,250,752,10
2225,66,12,1000,249,1
1150,329,1,100,261,0
1198,76,1,500,830,0
3716,51,7,500,987,5
4483,618,17,750,966,15
3315,769,7,1000,75,0
2051,674,17,100,555,75
3524,785,6,1000,692,1
1402,503,3,500,529,0
1092,649,2,1000,328,0
3945,773,15,750,978,14
3563,811,0,100,800,0
2705,995,18,100,420,54
350,683,12,750,417,7
1733,679,18,250,995,63
4444,695,1,250,262,0
383,995,4,250,653,10
773,830,2,1000,590,1
817,731,4,750,496,2
1611,204,3,750,904,1
3241,896,7,750,426,0
628,939,14,750,854,15
4118,397,6,500,746,0
2674,998,19,500,95,0
1095,359,19,250,891,61
1847,781,14,100,658,75
2829,215,16,750,249,1
1702,4,2,1000,227,0
61,600,1,1000,358,1
1961,22,14,750,603,8
3678,804,12,750,124,0
378,209,7,750,775,6
4626,870,9,100,167,0
2990,135,15,250,814,34
1273,503,1,1000,731,0
142,452,15,750,660,13
3306,438,6,250,907,7
4363,343,15,100,165,0
2947,681,4,1000,641,0
1607,695,0,750,858,0
2316,69,0,100,883,0
854,892,12,1000,64,1
1743,245,18,500,735,22
320,713,9,750,812,9
2314,6,19,500,297,6
1447,286,10,100,801,60
760,389,20,1000,89,1
2811,832,13,750,601,7
1900,59,8,100,526,18
351,703,9,750,537,6
176,311,8,100,973,69
2589,463,7,750,783,3
4267,815,2,500,522,0
4204,982,11,250,967,26
3592,520,15,250,365,8
212,836,7,500,493,7
359,800,13,100,253,35
697,545,16,750,505,10
806,313,4,250,83,0
3992,478,3,250,280,0
1767,101,19,750,295,5
1972,732,11,750,851,10
4547,320,16,750,79,0
3628,700,5,250,593,0
4050,35,6,100,307,0
3129,972,19,1000,122,0
4213,130,18,500,533,10
2190,479,17,100,405,48
4360,376,14,1000,71,0
475,49,0,500,755,0
2108,985,4,750,697,1
4739,747,20,1000,907,13
2251,112,15,100,855,98
192,278,14,100,378,50
4816,45,9,100,249,0
699,801,1,1000,18,0
4000,236,14,1000,991,9
771,696,10,1000,820,7
2471,836,11,500,729,11
543,373,4,250,464,5
2087,3,14,500,816,17
1088,262,2,250,691,0
1135,539,17,250,113,5
3056,553,17,100,486,53
123,55,15,1000,798,11
2837,425,18,100,646,86
2886,961,1,1000,329,0
3973,768,14,500,309,2
3666,23,11,1000,290,0
4096,118,0,250,870,0
1950,680,17,100,292,34
931,973,9,250,470,15
80,872,14,100,162,29
2143,412,19,250,319,16
2162,969,5,500,727,3
823,887,2,100,67,1
4281,214,19,100,920,125
1240,470,12,750,898,12
2134,502,1,1000,306,0
219,24,18,500,298,10
2729,737,5,750,410,0
466,688,1,100,469,2
93,885,10,750,385,6
1477,575,4,750,256,0
3806,304,2,1000,690,0
184,896,14,750,518,10
4872,526,0,500,906,0
2699,360,17,250,946,51
3239,478,2,100,97,0
3350,139,14,250,833,30
3396,375,6,1000,676,0
4577,476,10,1000,663,2
3015,374,19,250,757,44
4036,703,13,100,889,73
3237,186,15,1000,463,3
1417,455,15,500,867,22
583,434,16,250,480,28
4899,960,1,1000,466,0
2332,403,6,250,2,0
3367,68,18,1000,550,6
198,912,17,100,5,8
520,329,2,750,847,1
3453,386,10,100,464,11
562,971,0,1000,557,0
957,963,8,1000,637,4
2024,108,7,750,293,0
1452,0,7,100,982,44
1621,59,6,250,643,7
4618,888,17,750,41,0
1077,184,17,750,546,10
1517,7,18,100,553,79
3183,452,14,1000,949,10
3399,822,3,100,327,0
181,723,12,500,527,13
2029,12,15,500,818,19
2719,470,20,250,441,25
4896,100,16,100,187,0
851,306,15,250,536,28
2256,345,19,500,815,26
713,562,17,500,257,8
3292,288,16,1000,97,0
4390,677,18,500,97,0
3030,258,13,500,127,0
4269,967,17,250,728,33
3674,161,5,250,56,0
271,533,16,1000,651,10
1478,552,2,100,583,0
2248,280,1,100,748,0
2268,45,7,100,419,3
3975,348,13,500,399,2
4264,378,15,750,373,2
2924,234,6,100,820,14
3209,567,15,750,198,0
3231,57,12,500,178,0
4860,860,12,1000,561,2
3472,812,13,1000,813,7
1416,937,17,750,253,5
3354,655,4,1000,834,0
625,348,3,1000,839,1
122,436,6,100,139,10
3704,137,2,100,536,0
3193,573,13,250,323,5
343,533,7,500,331,4
4602,439,5,100,857,0
811,459,17,100,833,130
3237,705,4,100,987,4
3965,784,6,500,498,0
4400,882,3,250,47,0
1578,162,1,250,861,0
4245,795,19,500,448,9
783,163,11,1000,415,4
249,706,8,250,104,5
4128,372,5,250,325,0
715,547,1,750,612,0
4269,547,14,500,254,0
3349,749,4,1000,767,0
2144,6,11,100,191,0
4015,204,15,750,874,11
2962,696,4,500,953,1
470,637,15,100,850,121
3915,618,13,100,66,0
1825,588,5,750,939,3
180,178,18,100,314,53
1809,966,8,750,988,8
190,673,3,750,21,1
4403,627,1,250,494,0
1412,795,5,100,210,2
4091,903,7,100,620,5
395,176,12,100,814,87
121,680,13,1000,49,1
4961,479,20,500,493,10
1217,768,16,250,403,22
4580,21,11,250,615,6
781,938,3,100,954,21
2142,700,12,100,35,0
4365,930,6,750,78,0
801,716,10,100,98,8
1917,905,20,750,637,15
974,847,8,750,768,7
62,59,16,1000,513,8
2388,429,20,500,817,27
1775,696,17,500,289,7
1764,201,1,250,315,0
4775,186,3,500,644,0
2609,534,17,100,913,125
3412,252,10,100,326,0
2558,856,11,750,851,9
4862,229,4,100,76,0
4169,151,8,250,883,9
3874,594,13,250,451,9
2310,973,15,250,777,38
2940,477,2,750,836,0
1527,191,4,500,580,1
755,620,6,100,17,0
4676,929,17,750,884,14
3108,740,2,100,461,0
4776,654,16,500,765,15
522,503,18,100,119,20
4316,625,16,1000,552,5
1980,571,10,100,890,66
4942,64,12,100,330,0
2005,488,2,250,92,0
2589,338,18,100,84,0
541,264,17,100,483,75
1024,359,5,250,251,1
1605,178,18,500,554,16
1547,310,12,1000,292,2
2702,323,9,1000,375,1
3981,200,5,100,402,0
2358,95,16,1000,509,5
3927,727,1,1000,772,0
18,670,2,500,679,3
1570,719,19,750,284,6
910,490,5,1000,654,2
494,534,14,750,769,13
4049,676,9,250,191,0
458,566,17,750,820,18
2631,637,11,100,408,21
2199,539,16,750,119,0
1541,139,3,100,821,2
3353,321,14,500,94,0
2868,675,15,500,204,1
2034,797,5,500,453,1
3070,328,5,1000,4,0
4685,206,9,750,748,2
2262,679,1,750,49,0
1330,268,18,100,71,1
4621,871,9,500,617,2
1388,728,17,100,549,81
1494,319,3,100,936,7
1889,344,20,100,181,19
4725,714,0,250,453,0
2772,588,8,100,870,39
3435,657,11,500,585,6
996,865,18,500,592,20
2125,859,11,1000,257,1
2606,969,12,750,645,7
3488,790,17,750,449,6
3162,251,17,100,410,36
2885,619,15,750,983,15
3462,865,16,750,213,1
321,374,15,500,313,9
2480,363,3,1000,564,0
2794,828,1,750,136,0
2037,63,14,250,422,14
2601,26,3,500,238,0
2795,420,3,750,468,0
2962,475,12,750,187,0
287,189,10,500,758,13
1477,607,11,1000,439,4
4657,363,2,100,85,0
3632,872,18,250,907,51
2858,166,1,750,876,0
3010,193,20,750,169,1
3271,320,14,750,385,3
1931,809,2,500,841,0
367,89,17,500,590,18
1422,835,16,500,288,7
1183,701,1,250,313,0
3090,477,10,500,702,7
1066,354,13,250,259,10
3146,177,5,250,329,0
1731,805,17,750,632,12
2937,230,6,1000,307,0
2813,141,0,250,172,0
1591,863,18,1000,685,11
4425,483,17,1000,428,3
4749,25,1,100,540,0
4298,79,1,750,399,0
1213,86,19,100,23,0
2023,311,8,250,889,18
2563,919,18,500,321,8
177,26,11,100,956,94
1919,1000,10,750,15,0
2951,980,2,750,483,0
1515,700,15,750,66,0
1104,804,5,250,669,10
692,744,1,750,867,0
633,846,6,1000,300,2
4210,666,10,500,729,6
2807,356,9,1000,417,1
3554,250,12,750,991,10
2379,60,18,250,346,14
1528,321,13,1000,445,4
3168,757,5,1000,948,1
1811,704,13,250,933,40
1606,487,5,250,297,0
22,939,19,750,868,22
1260,366,2,250,962,0
4420,704,4,750,170,0
1805,631,20,1000,829,15
27,234,17,100,422,70
3741,805,8,100,662,17
471,151,15,1000,487,6
4479,307,0,100,550,0
4629,736,15,1000,677,6
418,895,12,500,1,1
2771,70,1,500,19,0
2242,137,4,100,957,8
1771,62,8,750,122,0
4126,442,4,750,257,0
3221,201,12,1000,762,5
4034,194,3,100,758,0
1155,429,2,100,759,0
3078,409,0,100,167,0
2311,615,15,100,956,117
1266,6,2,500,488,0
451,627,12,100,534,60
2553,10,0,500,340,0
1419,364,1,1000,634,0
1206,485,2,1000,806,0
969,831,6,1000,584,3
2576,773,5,100,651,8
4331,994,4,750,290,0
51,173,0,1000,689,0
1403,394,0,1000,879,0
3964,697,10,1000,218,0
4474,523,18,100,206,0
3794,660,7,750,730,2
2921,713,9,1000,434,1
4121,187,16,250,141,0
3089,396,1,1000,913,0
1556,789,18,500,618,19
2326,486,9,500,795,9
4202,960,5,750,239,0
3512,670,2,100,23,0
2149,985,15,750,999,17
2621,131,18,100,648,85
2505,36,5,250,481,0
1298,10,8,500,665,7
961,35,12,500,488,9
4142,883,9,250,638,7
4180,746,4,1000,903,0
1383,216,1,500,35,0
2825,597,4,500,945,1
3061,876,16,100,265,18
1203,389,5,1000,456,1
3544,485,0,100,656,0
1426,10,14,1000,817,9
4392,425,17,500,866,20
1748,664,8,250,732,16
4578,69,17,500,557,9
3796,873,1,250,701,0
1846,360,16,250,952,51
4784,279,14,1000,104,0
1865,628,2,750,266,0
202,531,10,750,159,2
1309,452,1,500,592,0
3624,458,9,1000,191,0
4146,293,7,1000,578,0
4408,944,17,250,873,42
2251,59,16,250,161,1
2664,767,16,250,583,27
1495,956,2,750,414,0
2046,322,13,750,898,12
1841,439,13,100,643,63
4743,250,3,1000,16,0
538,72,6,100,482,19
1248,505,1,500,466,0
3465,847,0,750,8,0
2735,535,18,100,369,41
1240,641,20,250,958,70
3552,88,17,500,856,20
2915,943,20,100,231,24
1535,626,4,750,610,1
1025,483,9,1000,936,7
4307,172,6,250,89,0
4087,414,18,1000,877,11
4573,615,9,1000,150,0
1716,622,14,250,453,19
2909,181,13,1000,359,2
1689,842,20,1000,927,17
3353,484,2,100,43,0
2216,86,13,750,427,4
902,309,0,500,284,0
4459,517,9,750,321,0
2426,240,0,500,948,0
1477,686,16,100,79,4
2910,734,20,500,578,18
1276,632,8,250,197,3
2182,200,3,250,656,0
349,484,9,500,856,14
22,17,13,250,497,24
3652,326,19,1000,413,4
4055,319,13,100,171,0
503,965,16,1000,142,3
4139,986,9,750,468,1
1813,809,18,1000,138,1
4100,38,13,250,402,3
3936,100,5,1000,478,0
4732,62,7,1000,532,0
1013,491,16,750,418,8
4214,47,8,100,785,13
1245,260,2,100,137,0
4009,355,18,1000,913,12
1376,115,8,1000,764,4
3114,549,5,500,472,0
3374,181,14,500,616,10
3917,241,8,750,974,4
4193,897,4,1000,107,0
1668,813,7,1000,984,5
1933,663,10,500,111,0
2268,456,17,1000,3,0
1358,901,0,100,801,0
4155,399,13,100,775,55
2153,872,12,250,697,26
4204,810,16,250,798,34
4886,932,1,250,579,0
1969,987,4,250,273,0
3586,797,2,750,774,0
3987,674,14,750,824,10
3443,301,13,250,301,2
794,125,2,1000,658,0
633,108,12,500,253,5
112,508,12,750,570,9
3001,33,19,750,935,18
4967,535,20,100,105,0
2403,156,9,500,286,0
536,31,20,500,888,33
777,797,17,250,288,19
551,431,0,1000,361,0
2773,89,18,500,87,0
46,1,15,100,82,11
931,878,10,250,37,1
1291,665,14,750,522,8
4330,545,6,1000,627,0
2361,635,11,750,819,9
4017,492,5,250,870,0
2581,844,20,250,128,3
1836,243,13,500,598,11
3796,879,5,500,628,0
4342,455,16,1000,17,0
873,471,9,500,674,10
419,83,18,1000,260,4
3712,408,9,100,613,16
1027,609,8,500,572,7
3057,723,1,750,993,0
1886,450,15,750,167,1
3377,121,0,1000,133,0
2842,910,17,100,91,0
181,218,15,750,307,6
2032,149,18,500,698,20
3705,123,16,100,96,0
2202,28,10,500,386,3
4927,141,13,1000,245,0
612,909,3,100,341,10
3624,592,7,750,776,2
3207,598,4,250,737,0
4464,684,19,100,585,68
800,614,4,750,801,3
1085,887,6,250,499,9
2971,511,2,100,33,0
4866,945,10,750,746,4
833,226,14,500,843,21
3763,738,7,500,209,0
2939,292,8,500,53,0
1135,641,20,500,166,5
3214,278,9,500,333,0
2208,57,19,750,149,1
4911,925,18,750,118,0
251,602,4,1000,66,1
2200,447,17,1000,226,2
3493,556,7,1000,952,3
4907,110,17,500,340,1
1570,18,19,750,297,5
865,450,2,500,416,0
4653,321,3,100,259,0
3699,270,17,500,38,0
1006,672,18,500,863,29
915,328,12,100,244,21
4195,357,17,750,958,15
300,184,2,500,612,1
2711,260,19,750,1000,21
584,549,7,750,11,0
3670,995,14,500,475,7
937,891,20,750,788,20
1945,343,12,500,298,3
1555,278,7,1000,862,4
858,841,6,100,977,49
4573,933,6,250,114,0
1811,94,20,500,643,21
1281,631,10,1000,801,7
3638,635,9,750,0,0
4288,480,11,250,151,0
2914,649,9,500,431,2
4654,272,1,100,124,0
4146,471,2,100,194,0
4401,437,12,500,583,5
3171,654,6,100,781,14
3093,346,14,100,444,30
455,183,0,250,33,0
642,618,3,1000,830,2
4900,673,12,500,540,3
2867,156,12,100,80,0
4890,94,11,1000,746,3
3863,220,6,250,972,5
3018,641,8,100,995,46
4081,627,13,100,589,36
3600,206,20,1000,150,0
23,262,20,100,949,183
1178,548,13,750,766,11
2818,314,4,500,11,0
778,229,5,100,71,0
2941,969,4,100,581,0
4608,990,14,250,461,10
911,327,20,100,868,159
1548,316,12,1000,174,1
4415,50,18,100,242,0
4864,703,3,500,400,0
424,461,6,100,75,4
3095,495,11,250,744,19
244,148,3,500,409,1
1552,140,20,100,545,89
1561,530,2,500,76,0
4871,918,13,750,750,7
349,869,20,500,567,23
4302,426,0,1000,972,0
3828,996,11,750,919,8
2756,946,0,1000,431,0
1303,142,4,250,980,7
4585,725,4,100,236,0
1538,454,3,100,716,3
3674,504,12,500,733,10
2519,450,13,100,66,0
2823,753,0,1000,492,0
1395,886,18,250,244,15
2305,328,13,750,42,0
4041,445,2,750,419,0
4584,874,10,500,572,3
3848,863,2,750,541,0
270,444,0,100,999,0
3508,376,7,500,269,0
2055,92,19,100,822,128
3017,258,13,1000,302,1
4937,973,3,1000,886,0
3379,401,7,750,292,0
1128,466,17,500,529,16
3579,47,3,1000,149,0
4660,343,4,100,261,0
1720,15,20,500,911,31
696,194,12,500,559,11
3307,307,19,100,768,108
1774,647,10,750,163,0
1060,252,0,1000,348,0
1636,67,19,750,646,13
4281,547,5,100,595,0
689,193,13,250,268,11
445,672,8,750,523,5
176,688,20,750,562,15
407,399,14,250,819,43
340,81,7,500,651,7
958,220,13,750,569,8
987,99,14,250,812,39
4246,30,20,250,477,19
2531,572,10,100,945,65
3310,751,9,500,915,10
4844,903,15,750,544,5
1417,322,14,100,290,27
4703,957,17,750,575,7
2664,739,4,1000,696,0
2069,222,3,1000,102,0
1892,248,0,100,404,0
2458,452,1,1000,135,0
1584,159,5,100,839,19
4245,582,0,750,192,0
3604,447,19,1000,349,3
481,104,12,100,804,85
548,161,13,250,408,18
399,186,18,250,557,37
2971,538,5,1000,147,0
676,509,19,500,113,4
4077,262,12,100,632,31
3060,588,7,100,393,0
